state_id,energy,J,parity,m1_true,m2_true,m3_true,r_true
42224,5267.388607,7,f,3,2,0,3
42225,5367.97401,7,f,2,4,0,2
42226,5459.107393,7,f,3,2,0,2
42228,5501.86301,7,f,1,6,0,1
42229,5553.126597,7,f,1,3,1,2
42230,5602.136976,7,f,2,4,0,1
42231,5649.191265,7,f,0,5,1,1
42233,5666.782911,7,f,3,2,0,1
42240,6494.961802,7,f,4,2,0,4
42241,6583.888822,7,f,3,4,0,3
42242,6692.435822,7,f,4,2,0,3
42245,6758.610185,7,f,2,3,1,3
42246,6820.360976,7,f,3,4,0,2
42247,6845.59931,7,f,1,5,1,2
42250,6963.073688,7,f,0,7,1,1
42251,6966.508335,7,f,2,3,1,2
42252,6977.051769,7,f,2,6,0,1
42254,7067.218349,7,f,3,4,0,1
42255,7086.42513,7,f,1,5,1,1
42256,7124.076031,7,f,4,2,0,1
42257,7176.317777,7,f,2,3,1,1
42260,7266.989917,7,f,0,4,2,1
42270,7918.44103,7,f,5,2,0,4
42273,8033.728485,7,f,2,5,1,3
42275,8122.673217,7,f,5,2,0,3
42276,8143.342047,7,f,1,7,1,2
42280,8278.247823,7,f,4,4,0,2
42281,8280.20062,7,f,2,5,1,2
42285,8417.743455,7,f,1,7,1,1
42287,8451.959073,7,f,1,4,2,2
42289,8529.146305,7,f,2,5,1,1
42296,8670.902492,7,f,1,4,2,1
42309,9140.54366,7,f,4,3,1,5
42315,9368.239308,7,f,4,3,1,4
42322,9586.256534,7,f,4,3,1,3
42332,9808.948507,7,f,4,3,1,2
42334,9859.49398,7,f,5,1,1,2
42349,10085.081815,7,f,5,1,1,1
42352,10148.075992,7,f,0,5,3,1
42364,10503.684011,7,f,0,2,4,1
42371,10700.165294,7,f,6,1,1,5
42378,10877.278779,7,f,6,1,1,4
42394,11178.920377,7,f,3,1,3,4
42397,11222.916709,7,f,2,3,3,3
42406,11355.736325,7,f,3,1,3,3
42410,11428.19764,7,f,2,3,3,2
42419,11512.115159,7,f,3,1,3,2
42420,11527.685243,7,f,6,1,1,1
42427,11631.958954,7,f,2,3,3,1
42430,11683.721521,7,f,3,1,3,1
42449,12122.63253,7,f,0,1,5,1
42489,12698.633076,7,f,4,1,3,3
42633,14421.098453,7,f,2,1,5,3
42649,14580.768532,7,f,2,1,5,2
42662,14727.320145,7,f,2,1,5,1
42758,15727.478437,7,f,3,1,5,3
42784,15882.503623,7,f,3,1,5,2
47587,3362.572835,7,e,0,5,0,1
47593,4438.065337,7,e,3,1,0,4
47594,4489.146611,7,e,2,3,0,3
47595,4579.659322,7,e,1,5,0,2
47596,4612.951636,7,e,3,1,0,3
47597,4698.752092,7,e,2,3,0,2
47598,4701.276611,7,e,0,7,0,1
47599,4775.273471,7,e,3,1,0,2
47600,4823.400474,7,e,1,5,0,1
47603,4912.041412,7,e,2,3,0,1
47604,4960.243854,7,e,3,1,0,1
47610,5660.456092,7,e,4,1,0,5
47611,5705.681905,7,e,3,3,0,4
